"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"810","Sales & Marketing","Bachelor's","m","other",1,27,3,3,"No",51,"Non-Promotion"
"815","Technology","Bachelor's","m","other",1,28,2,2,"No",79,"Non-Promotion"
"819","Operations","Master's & above","m","sourcing",1,43,2,3,"No",59,"Non-Promotion"
"821","Technology","Master's & above","m","other",1,38,3,8,"No",77,"Non-Promotion"
"822","Operations","Bachelor's","f","sourcing",1,25,1,2,"No",57,"Non-Promotion"
"824","Sales & Marketing","Bachelor's","m","sourcing",1,29,1,5,"No",48,"Non-Promotion"
"826","Technology","Bachelor's","f","sourcing",1,35,1,4,"No",83,"Non-Promotion"
"827","Analytics","Bachelor's","m","other",1,34,3,3,"No",89,"Promotion"
"830","Technology","Master's & above","m","other",1,39,1,8,"No",77,"Non-Promotion"
"831","Procurement","Bachelor's","m","sourcing",1,50,3,8,"No",71,"Non-Promotion"
"833","Sales & Marketing","Bachelor's","m","other",1,40,2,10,"No",49,"Non-Promotion"
"834","Sales & Marketing","Bachelor's","f","other",1,30,3,8,"No",50,"Promotion"
"835","Procurement","Bachelor's","f","other",1,33,2,3,"No",69,"Promotion"
"838","Operations","Bachelor's","m","other",1,52,4,10,"No",60,"Non-Promotion"
"839","Procurement","Bachelor's","f","other",1,29,5,4,"No",72,"Promotion"
"842","Sales & Marketing","Bachelor's","m","other",1,44,3,10,"No",49,"Non-Promotion"
"843","Sales & Marketing","Master's & above","m","sourcing",1,42,5,11,"No",54,"Promotion"
"845","Procurement","Master's & above","f","other",1,34,4,7,"No",70,"Non-Promotion"
"847","Sales & Marketing","Master's & above","f","sourcing",1,38,2,8,"No",51,"Non-Promotion"
"848","Technology","Bachelor's","m","other",1,47,3,16,"No",80,"Non-Promotion"
"857","Sales & Marketing","Bachelor's","f","sourcing",1,29,4,3,"No",52,"Non-Promotion"
"859","Analytics","Bachelor's","m","other",1,26,3,4,"No",85,"Non-Promotion"
"863","Technology","Bachelor's","m","sourcing",1,33,5,2,"No",79,"Non-Promotion"
"871","Procurement","Master's & above","f","sourcing",2,50,5,13,"No",69,"Non-Promotion"
"882","Procurement","Bachelor's","m","sourcing",3,43,5,2,"No",70,"Non-Promotion"
"884","Procurement","Bachelor's","f","other",1,46,1,5,"No",68,"Non-Promotion"
"890","Technology","Bachelor's","f","other",2,28,3,3,"No",82,"Non-Promotion"
"891","Procurement","Bachelor's","m","other",1,44,5,5,"No",72,"Non-Promotion"
"892","Operations","Bachelor's","m","other",2,37,3,3,"No",61,"Non-Promotion"
"894","Technology","Bachelor's","f","sourcing",1,50,3,23,"No",80,"Non-Promotion"
"896","Sales & Marketing","Bachelor's","m","other",1,28,3,2,"No",47,"Non-Promotion"
"897","Analytics","Bachelor's","m","other",3,28,5,5,"No",80,"Non-Promotion"
"902","Technology","Bachelor's","m","other",1,49,3,16,"No",78,"Non-Promotion"
"907","Technology","Master's & above","f","other",1,39,3,10,"No",81,"Non-Promotion"
"909","Analytics","Bachelor's","m","sourcing",1,36,5,5,"No",79,"Non-Promotion"
"912","Sales & Marketing","Master's & above","m","sourcing",1,47,5,11,"No",50,"Non-Promotion"
"913","Technology","Bachelor's","m","other",1,30,5,3,"No",77,"Promotion"
"914","Sales & Marketing","Bachelor's","m","other",1,40,3,4,"No",52,"Non-Promotion"
"915","Operations","Master's & above","f","sourcing",1,47,3,20,"No",63,"Non-Promotion"
"917","Operations","Bachelor's","f","other",1,46,3,8,"No",57,"Non-Promotion"
"918","Sales & Marketing","Bachelor's","m","sourcing",1,55,5,5,"No",53,"Non-Promotion"
"921","Technology","Bachelor's","m","sourcing",1,28,3,5,"No",77,"Non-Promotion"
"923","Analytics","Bachelor's","m","other",2,32,3,7,"No",85,"Non-Promotion"
"928","Operations","Bachelor's","f","other",2,30,3,5,"No",53,"Non-Promotion"
"929","Sales & Marketing","Bachelor's","m","other",1,32,5,8,"No",51,"Non-Promotion"
"930","Analytics","Bachelor's","m","sourcing",2,32,3,6,"No",84,"Non-Promotion"
"931","Technology","Bachelor's","f","other",1,41,3,5,"No",75,"Non-Promotion"
"932","Procurement","Bachelor's","f","other",1,46,4,16,"No",74,"Non-Promotion"
"934","Analytics","Bachelor's","m","sourcing",1,39,4,9,"No",81,"Non-Promotion"
"935","Operations","Master's & above","m","other",1,37,3,4,"No",56,"Non-Promotion"
"936","Procurement","Master's & above","m","other",1,37,3,7,"No",70,"Non-Promotion"
"938","Technology","Master's & above","m","other",1,53,4,17,"No",81,"Non-Promotion"
"940","Legal","Bachelor's","m","other",1,27,3,3,"No",63,"Non-Promotion"
"941","Sales & Marketing","Master's & above","m","other",1,36,3,2,"No",45,"Promotion"
"942","Operations","Bachelor's","f","other",1,47,3,17,"No",55,"Non-Promotion"
"945","Technology","Master's & above","f","sourcing",1,34,3,8,"No",78,"Non-Promotion"
"946","Analytics","Bachelor's","m","sourcing",1,33,1,2,"No",87,"Non-Promotion"
"949","Operations","Bachelor's","m","other",1,40,4,5,"No",54,"Non-Promotion"
"950","Operations","Bachelor's","m","other",1,46,4,5,"No",62,"Non-Promotion"
"955","R&D","Bachelor's","m","sourcing",1,35,3,7,"No",86,"Non-Promotion"
"957","Sales & Marketing","Bachelor's","m","other",1,32,5,5,"No",47,"Promotion"
"959","Technology","Bachelor's","m","other",1,26,4,2,"No",78,"Non-Promotion"
"963","HR","Bachelor's","f","sourcing",1,29,3,5,"No",50,"Non-Promotion"
"964","Operations","Bachelor's","f","sourcing",1,39,5,9,"No",61,"Promotion"
"969","Sales & Marketing","Master's & above","m","other",3,44,1,7,"No",40,"Non-Promotion"
"971","Sales & Marketing","Master's & above","m","sourcing",1,51,3,12,"No",47,"Non-Promotion"
"974","Analytics","Bachelor's","m","sourcing",1,30,3,2,"No",81,"Non-Promotion"
"976","Sales & Marketing","Bachelor's","m","sourcing",1,28,3,2,"No",52,"Non-Promotion"
"977","Sales & Marketing","Bachelor's","m","sourcing",1,35,4,5,"No",46,"Non-Promotion"
"979","Operations","Bachelor's","m","sourcing",1,57,3,14,"No",61,"Non-Promotion"
"982","Technology","Bachelor's","f","sourcing",1,36,3,7,"No",79,"Non-Promotion"
"990","Operations","Bachelor's","f","other",1,31,3,2,"No",58,"Non-Promotion"
"991","Sales & Marketing","Bachelor's","f","sourcing",1,36,3,13,"No",52,"Non-Promotion"
"993","Operations","Bachelor's","m","sourcing",1,27,5,4,"No",68,"Promotion"
"994","Technology","Bachelor's","m","other",1,24,3,2,"No",77,"Non-Promotion"
"995","Technology","Master's & above","f","other",1,41,4,8,"Yes",93,"Promotion"
"996","Procurement","Bachelor's","f","other",1,50,3,4,"No",69,"Non-Promotion"
"1000","Procurement","Master's & above","m","sourcing",2,46,3,13,"No",75,"Non-Promotion"
"1006","Procurement","Bachelor's","m","other",1,31,2,5,"No",69,"Non-Promotion"
"1008","Procurement","Bachelor's","m","sourcing",1,33,5,6,"No",72,"Non-Promotion"
"1011","Sales & Marketing","Bachelor's","m","sourcing",2,32,4,5,"No",47,"Non-Promotion"
"1013","Technology","Bachelor's","m","other",1,29,1,6,"No",82,"Non-Promotion"
"1017","Analytics","Bachelor's","m","sourcing",2,29,5,2,"No",86,"Promotion"
"1020","Sales & Marketing","Master's & above","f","other",1,31,3,3,"No",56,"Non-Promotion"
"1022","Analytics","Bachelor's","m","other",3,29,3,4,"No",81,"Non-Promotion"
"1024","Analytics","Bachelor's","f","sourcing",1,34,1,3,"No",83,"Non-Promotion"
"1025","Operations","Bachelor's","m","sourcing",1,28,5,2,"No",59,"Non-Promotion"
"1026","Procurement","Master's & above","m","sourcing",1,38,4,10,"No",68,"Non-Promotion"
"1028","Sales & Marketing","Bachelor's","f","other",1,30,1,2,"No",52,"Non-Promotion"
"1034","Operations","Bachelor's","m","other",1,44,4,11,"No",57,"Non-Promotion"
"1035","Operations","Bachelor's","m","other",1,34,4,4,"No",61,"Non-Promotion"
"1037","Procurement","Master's & above","f","sourcing",1,56,3,19,"No",74,"Non-Promotion"
"1038","Technology","Bachelor's","f","sourcing",1,32,3,4,"No",82,"Non-Promotion"
"1040","Procurement","Bachelor's","f","sourcing",1,27,3,3,"No",68,"Non-Promotion"
"1041","HR","Bachelor's","m","sourcing",1,39,4,4,"No",44,"Non-Promotion"
"1042","Sales & Marketing","Bachelor's","m","other",1,25,5,2,"No",48,"Non-Promotion"
"1045","Sales & Marketing","Master's & above","m","sourcing",1,34,3,6,"No",48,"Non-Promotion"
"1048","Sales & Marketing","Bachelor's","m","sourcing",1,41,4,3,"No",50,"Non-Promotion"
"1050","Sales & Marketing","Bachelor's","m","other",2,26,1,3,"No",50,"Non-Promotion"
"1052","Sales & Marketing","Bachelor's","m","other",2,35,1,9,"No",50,"Non-Promotion"
"1055","R&D","Master's & above","m","other",2,38,4,4,"No",80,"Non-Promotion"
"1064","Operations","Bachelor's","m","sourcing",1,39,3,3,"No",63,"Non-Promotion"
"1065","Technology","Bachelor's","f","other",2,25,3,4,"No",79,"Non-Promotion"
"1066","Procurement","Bachelor's","f","other",1,30,3,4,"No",67,"Non-Promotion"
"1068","Sales & Marketing","Bachelor's","m","other",1,42,3,12,"No",50,"Non-Promotion"
"1071","Sales & Marketing","Bachelor's","m","other",1,32,1,7,"No",54,"Non-Promotion"
"1072","Technology","Master's & above","m","sourcing",1,37,3,6,"No",81,"Non-Promotion"
"1075","Operations","Master's & above","m","sourcing",1,44,3,15,"No",61,"Promotion"
"1077","Sales & Marketing","Master's & above","f","other",1,50,3,4,"No",51,"Non-Promotion"
"1078","Operations","Bachelor's","f","other",1,29,4,3,"No",59,"Non-Promotion"
"1084","Analytics","Bachelor's","m","other",2,25,4,2,"No",87,"Non-Promotion"
"1087","Procurement","Master's & above","m","other",1,44,1,10,"No",67,"Non-Promotion"
"1088","Technology","Master's & above","m","sourcing",1,34,3,6,"No",79,"Non-Promotion"
"1089","R&D","Bachelor's","f","other",1,30,5,4,"No",86,"Non-Promotion"
"1090","Legal","Master's & above","m","other",1,44,4,2,"No",58,"Non-Promotion"
"1091","Operations","Master's & above","f","sourcing",1,41,5,6,"No",60,"Non-Promotion"
"1093","Procurement","Bachelor's","m","other",2,54,3,16,"No",73,"Non-Promotion"
"1103","Finance","Bachelor's","m","sourcing",1,25,4,4,"No",63,"Non-Promotion"
"1104","Legal","Bachelor's","m","other",1,28,1,3,"No",60,"Non-Promotion"
"1107","Operations","Bachelor's","f","sourcing",1,42,3,12,"No",61,"Non-Promotion"
"1110","Technology","Bachelor's","m","sourcing",1,57,2,29,"No",78,"Non-Promotion"
"1111","Procurement","Master's & above","m","sourcing",1,38,2,4,"No",71,"Non-Promotion"
"1112","Procurement","Master's & above","f","other",1,35,2,3,"No",70,"Non-Promotion"
"1118","Operations","Bachelor's","m","other",1,27,4,4,"No",62,"Non-Promotion"
"1119","Operations","Bachelor's","f","sourcing",3,36,2,4,"No",78,"Promotion"
"1122","Sales & Marketing","Bachelor's","m","other",2,28,5,6,"No",50,"Non-Promotion"
"1125","Procurement","Bachelor's","m","other",1,34,3,11,"No",75,"Non-Promotion"
"1130","Technology","Bachelor's","m","sourcing",2,30,4,2,"No",83,"Non-Promotion"
"1131","Operations","Bachelor's","m","other",2,28,5,7,"No",63,"Non-Promotion"
"1135","Operations","Bachelor's","m","other",1,36,5,8,"No",58,"Non-Promotion"
"1139","Sales & Marketing","Bachelor's","f","other",2,26,4,3,"No",50,"Non-Promotion"
"1142","Operations","Bachelor's","m","other",1,31,3,7,"No",61,"Non-Promotion"
"1143","Technology","Bachelor's","f","other",1,32,4,7,"No",77,"Non-Promotion"
"1145","Sales & Marketing","Bachelor's","m","other",1,33,3,5,"No",50,"Non-Promotion"
"1146","Analytics","Bachelor's","m","other",1,35,3,7,"No",84,"Non-Promotion"
"1148","Legal","Master's & above","m","sourcing",1,54,3,7,"Yes",54,"Non-Promotion"
"1149","Sales & Marketing","Master's & above","m","other",2,35,5,9,"No",49,"Non-Promotion"
"1151","Sales & Marketing","Bachelor's","m","other",1,31,3,8,"No",50,"Non-Promotion"
"1153","HR","Bachelor's","m","other",1,33,3,4,"No",51,"Non-Promotion"
"1155","Analytics","Bachelor's","m","sourcing",1,27,4,3,"No",86,"Non-Promotion"
"1160","Technology","Master's & above","m","sourcing",2,35,1,7,"No",81,"Non-Promotion"
"1162","Operations","Master's & above","m","sourcing",1,34,3,7,"No",59,"Non-Promotion"
"1163","Sales & Marketing","Bachelor's","m","sourcing",2,31,4,9,"No",52,"Non-Promotion"
"1164","Operations","Master's & above","m","sourcing",2,44,5,11,"No",92,"Promotion"
"1165","Analytics","Bachelor's","f","sourcing",1,29,4,4,"No",92,"Promotion"
"1166","Operations","Bachelor's","m","sourcing",1,31,3,8,"No",57,"Non-Promotion"
"1167","Procurement","Bachelor's","m","sourcing",1,35,3,8,"No",68,"Non-Promotion"
"1172","Operations","Bachelor's","m","other",1,27,4,2,"No",60,"Non-Promotion"
"1173","Operations","Bachelor's","f","other",1,45,5,14,"No",60,"Non-Promotion"
"1175","Procurement","Master's & above","m","other",1,37,3,10,"No",75,"Non-Promotion"
"1177","Sales & Marketing","Bachelor's","f","sourcing",1,28,5,4,"No",53,"Non-Promotion"
"1178","Sales & Marketing","Bachelor's","m","other",2,38,1,2,"No",48,"Non-Promotion"
"1179","Procurement","Master's & above","m","other",2,46,3,16,"No",66,"Non-Promotion"
"1181","HR","Bachelor's","m","other",1,28,5,7,"No",51,"Non-Promotion"
"1184","Procurement","Master's & above","f","sourcing",2,37,1,7,"No",65,"Non-Promotion"
"1193","Procurement","Master's & above","m","other",1,44,4,10,"No",70,"Non-Promotion"
"1209","Technology","Below Secondary","f","other",1,24,1,2,"No",74,"Non-Promotion"
"1211","HR","Master's & above","f","other",1,42,4,11,"No",54,"Non-Promotion"
"1212","Operations","Bachelor's","f","other",1,35,2,7,"No",61,"Non-Promotion"
"1213","Sales & Marketing","Master's & above","m","other",1,35,4,3,"No",44,"Non-Promotion"
"1217","Sales & Marketing","Master's & above","m","other",1,40,1,5,"No",51,"Non-Promotion"
"1221","Analytics","Bachelor's","f","other",2,29,3,2,"No",81,"Non-Promotion"
"1225","Operations","Bachelor's","f","sourcing",1,32,3,2,"No",56,"Non-Promotion"
"1226","Technology","Bachelor's","f","other",1,30,3,2,"No",76,"Non-Promotion"
"1227","Operations","Master's & above","f","sourcing",2,48,3,21,"No",58,"Non-Promotion"
"1228","Operations","Master's & above","f","other",1,45,4,18,"No",59,"Non-Promotion"
"1230","Sales & Marketing","Bachelor's","m","other",1,29,3,2,"No",47,"Non-Promotion"
"1231","Analytics","Bachelor's","m","sourcing",1,39,3,10,"No",85,"Non-Promotion"
"1232","Sales & Marketing","Master's & above","m","other",2,38,1,7,"No",44,"Non-Promotion"
"1233","Finance","Bachelor's","m","other",1,30,3,5,"No",60,"Non-Promotion"
"1235","Sales & Marketing","Master's & above","f","sourcing",1,34,1,2,"No",50,"Non-Promotion"
"1236","Sales & Marketing","Master's & above","m","sourcing",1,32,5,7,"No",45,"Non-Promotion"
"1239","HR","Master's & above","m","other",1,39,3,12,"No",55,"Non-Promotion"
"1242","Finance","Bachelor's","m","sourcing",2,29,5,5,"No",65,"Non-Promotion"
"1245","Technology","Bachelor's","m","sourcing",2,29,5,2,"No",83,"Non-Promotion"
"1248","Operations","Master's & above","m","sourcing",1,57,4,16,"No",64,"Non-Promotion"
"1249","Operations","Bachelor's","m","sourcing",1,27,5,3,"No",60,"Non-Promotion"
"1250","Sales & Marketing","Bachelor's","f","sourcing",1,57,3,28,"No",51,"Non-Promotion"
"1252","Operations","Bachelor's","m","other",1,34,3,3,"No",68,"Promotion"
"1256","Analytics","Bachelor's","m","other",1,37,5,11,"Yes",86,"Promotion"
"1259","Finance","Bachelor's","m","other",1,28,3,6,"No",59,"Non-Promotion"
"1261","Analytics","Master's & above","m","other",1,35,5,3,"No",85,"Non-Promotion"
"1263","Technology","Bachelor's","m","other",2,30,5,5,"No",86,"Non-Promotion"
"1264","Operations","Master's & above","f","other",1,33,1,9,"No",60,"Non-Promotion"
"1267","Operations","Bachelor's","m","other",1,29,4,4,"No",61,"Non-Promotion"
"1268","Operations","Master's & above","f","other",1,33,1,8,"No",64,"Non-Promotion"
"1270","Operations","Master's & above","f","other",1,36,4,9,"No",57,"Non-Promotion"
"1272","Technology","Master's & above","m","referred",3,36,3,7,"No",80,"Promotion"
"1273","Sales & Marketing","Bachelor's","m","referred",1,36,5,9,"No",52,"Non-Promotion"
"1277","Operations","Bachelor's","f","other",1,26,4,6,"No",60,"Non-Promotion"
"1279","Sales & Marketing","Bachelor's","f","sourcing",1,31,5,5,"No",48,"Non-Promotion"
"1281","Operations","Master's & above","m","other",1,33,3,5,"No",57,"Non-Promotion"
"1283","HR","Master's & above","f","sourcing",1,51,5,16,"No",52,"Non-Promotion"
"1284","Sales & Marketing","Bachelor's","m","sourcing",1,41,3,11,"No",46,"Non-Promotion"
"1287","Procurement","Bachelor's","f","other",1,33,3,8,"No",71,"Non-Promotion"
"1288","Technology","Bachelor's","f","sourcing",1,32,1,7,"No",86,"Non-Promotion"
"1291","Technology","Bachelor's","m","other",1,29,3,2,"No",76,"Non-Promotion"
"1293","HR","Bachelor's","f","other",1,27,5,4,"No",48,"Non-Promotion"
"1297","Sales & Marketing","Master's & above","m","other",1,35,4,2,"No",54,"Non-Promotion"
"1299","Procurement","Bachelor's","f","other",1,34,5,2,"No",65,"Promotion"
"1303","Sales & Marketing","Master's & above","f","other",1,33,2,4,"No",51,"Non-Promotion"
"1305","Technology","Bachelor's","f","referred",1,33,5,6,"No",80,"Non-Promotion"
"1306","Sales & Marketing","Bachelor's","m","other",1,32,3,6,"No",47,"Promotion"
"1308","Procurement","Bachelor's","m","sourcing",2,34,3,4,"No",66,"Non-Promotion"
"1310","Operations","Bachelor's","m","sourcing",1,43,3,3,"No",56,"Non-Promotion"
"1314","Procurement","Master's & above","f","other",2,34,3,9,"No",67,"Non-Promotion"
"1319","Operations","Master's & above","m","other",1,31,5,6,"No",57,"Non-Promotion"
"1321","Procurement","Master's & above","f","other",1,30,3,8,"No",69,"Non-Promotion"
"1323","Operations","Master's & above","m","other",1,39,5,14,"No",56,"Non-Promotion"
"1324","Analytics","Master's & above","m","sourcing",2,39,4,8,"No",88,"Non-Promotion"
"1325","R&D","Bachelor's","m","sourcing",1,32,3,7,"No",83,"Non-Promotion"
"1329","Analytics","Bachelor's","m","other",1,54,3,16,"No",82,"Non-Promotion"
"1330","Procurement","Bachelor's","f","sourcing",2,27,2,3,"No",67,"Non-Promotion"
"1338","Sales & Marketing","Bachelor's","m","sourcing",1,29,1,4,"No",49,"Non-Promotion"
"1339","Technology","Bachelor's","m","sourcing",1,40,4,8,"No",82,"Non-Promotion"
"1341","R&D","Master's & above","m","sourcing",1,39,4,9,"No",87,"Non-Promotion"
"1342","Analytics","Bachelor's","m","other",2,35,3,7,"No",84,"Non-Promotion"
"1351","Operations","Master's & above","m","other",1,46,5,14,"No",58,"Non-Promotion"
"1355","R&D","Bachelor's","m","sourcing",2,40,3,2,"Yes",84,"Promotion"
"1356","Sales & Marketing","Bachelor's","m","sourcing",1,26,4,3,"No",47,"Non-Promotion"
"1358","Operations","Bachelor's","f","sourcing",1,37,4,8,"No",61,"Non-Promotion"
"1359","Procurement","Master's & above","m","sourcing",1,35,4,6,"No",74,"Non-Promotion"
"1360","Technology","Bachelor's","m","other",1,30,2,7,"No",81,"Non-Promotion"
"1361","Finance","Bachelor's","m","sourcing",1,34,3,3,"No",60,"Non-Promotion"
"1364","Procurement","Bachelor's","m","other",1,32,3,5,"No",68,"Non-Promotion"
"1366","Sales & Marketing","Bachelor's","m","other",1,32,3,4,"No",65,"Promotion"
"1367","Analytics","Master's & above","m","other",1,37,1,10,"No",84,"Non-Promotion"
"1368","Technology","Below Secondary","m","sourcing",1,30,3,2,"No",81,"Non-Promotion"
"1369","Operations","Master's & above","m","other",1,41,2,5,"No",58,"Non-Promotion"
"1370","Analytics","Master's & above","m","sourcing",1,35,4,5,"No",86,"Non-Promotion"
"1371","Procurement","Bachelor's","f","other",2,31,3,6,"No",73,"Non-Promotion"
